Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
8,Casa 2,0.25,752.2125,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
8,Casa 3,0.25,752.2125,Reconstrucción analítica,Media,Balance receta + etapa + fecha
8,Casa 4,0.25,752.2125,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
9,Casa 1,0.5,442.48,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
9,Casa 2,0.5,442.48,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
10,Casa 3,0.5,442.48,Reconstrucción analítica,Media,Balance receta + etapa + fecha
10,Casa 4,0.5,442.48,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
11,Casa 2,1.0,1084.07,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
12,Casa 2,1.0,1084.07,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
13,Casa 2,1.0,1084.07,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
79,Casa 1,2.0,2532.74,Reconstrucción analítica,Media,Balance receta + etapa + fecha
80,Casa 1,2.0,1592.92,Reconstrucción analítica,Media,Balance receta + etapa + fecha
426,Casa 1,4.0,3876.12,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
675,Casa 1,1.0,2345.13,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1057,Casa 1,2.5,3196.9,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1057,Casa 2,2.5,3196.9,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1246,Casa 2,4.0,26290.28,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1776,Casa 2,2.0,2592.92,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1776,Casa 3,11.5,14909.29,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1776,Casa 4,11.5,14909.29,Reconstrucción analítica,Media,Balance receta + etapa + fecha
14,Casa 1,0.25,1061.9475,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
14,Casa 2,0.25,1061.9475,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
14,Casa 3,0.25,1061.9475,Reconstrucción analítica,Media,Balance receta + etapa + fecha
14,Casa 4,0.25,1061.9475,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
16,Casa 3,0.75,663.72,Reconstrucción analítica,Media,Balance receta + etapa + fecha
16,Casa 4,0.25,221.24,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
17,Casa 4,1.0,884.96,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
106,Casa 1,1.0,2965.35,Reconstrucción analítica,Media,Balance receta + etapa + fecha
305,Casa 1,1.25,3459.1625,Reconstrucción analítica,Media,Balance receta + etapa + fecha
305,Casa 2,0.75,2075.4975,Reconstrucción analítica,Media,Balance receta + etapa + fecha
429,Casa 2,1.5,4150.995,Reconstrucción analítica,Media,Balance receta + etapa + fecha
429,Casa 3,0.5,1383.665,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
559,Casa 3,1.0,2601.29,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
2101,Casa 4,1.0,3694.69,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
18,Casa 1,1.0,2278.76,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
399,Casa 1,1.0,929.2,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
453,Casa 1,1.0,4592.92,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
669,Casa 1,3.0,7035.39,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
724,Casa 1,12.0,22810.56,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
798,Casa 1,2.0,53207.08,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
804,Casa 1,2.0,1212.38,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
817,Casa 1,1.0,734.51,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
831,Casa 1,2.0,2463.72,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
862,Casa 1,1.0,563.72,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
949,Casa 1,5.0,424.79999999999995,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
961,Casa 1,1.0,30080.53,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1024,Casa 1,1.0,565.49,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1044,Casa 1,4.0,279.64,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1045,Casa 1,1.0,784.96,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1071,Casa 1,4.0,7713.28,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1083,Casa 1,2.0,40228.32,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1116,Casa 1,1.0,4944.25,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1130,Casa 1,1.0,4944.25,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1188,Casa 1,5.0,915.95,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1198,Casa 1,10.0,840.6999999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1225,Casa 1,1.0,26603.54,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1244,Casa 1,4.0,8438.92,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1257,Casa 1,2.75,2097.7825000000003,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1257,Casa 2,0.25,190.7075,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1263,Casa 2,1.0,5948.67,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1322,Casa 2,1.0,2125.66,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1327,Casa 2,3.0,347.79,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1331,Casa 2,2.0,8076.1,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1383,Casa 2,1.0,5072.57,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1405,Casa 2,20.0,1681.3999999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1409,Casa 2,12.0,828.36,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1410,Casa 2,5.0,579.6500000000001,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1419,Casa 2,10.0,840.6999999999999,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1422,Casa 2,1.0,8745.13,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1440,Casa 2,5.0,398.25,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1493,Casa 2,8.0,651.36,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1511,Casa 2,1.5,100.89000000000001,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
